PhotochemCAD ID,Compound Category,Name,Synonym,CAS,Source,Absorption Wavelength,Absorption epsilon,Absorption coefficient,Quantum Yield,Solvent
,,,,,,,,,,
A01,https://photochemcad.com/databases/common-compounds/aromatic-hydrocarbons,Benzene,,71-43-2,"Sigma-Aldrich, 270709",254.75,,,0.053,hexane
A02,https://photochemcad.com/databases/common-compounds/aromatic-hydrocarbons,Toluene,,108-88-3,"Sigma-Aldrich, 650579",261.75,,,0.17,cyclohexane
A03,https://photochemcad.com/databases/common-compounds/aromatic-hydrocarbons,o-Xylene,,95-47-6,"TCI, X0012",263,,,0.17,hexane
A04,https://photochemcad.com/databases/common-compounds/aromatic-hydrocarbons,m-Xylene,,108-38-3,"TCI, X0013",265,,,0.13,hexane
A05,https://photochemcad.com/databases/common-compounds/aromatic-hydrocarbons,p-Xylene,,106-42-3,"Sigma-Aldrich, 296333",275,,,0.22,hexane
A06,https://photochemcad.com/databases/common-compounds/aromatic-hydrocarbons,Mesitylene,"1,3,5-Trimethylbenzene",108-67-8,"Sigma-Aldrich, M7200",265,,,0.088,hexane
A07,https://photochemcad.com/databases/common-compounds/aromatic-hydrocarbons,Durene,"1,2,4,5-Tetramethylbenzene",95-93-2,"Oakwood Chemical, 448616",278,,,0.3,hexane
A08,https://photochemcad.com/databases/common-compounds/aromatic-hydrocarbons,Pentamethylbenzene,,700-12-9,"Alfa Aesar, L04163",271,,,0.075,hexane
A09,https://photochemcad.com/databases/common-compounds/aromatic-hydrocarbons,Hexamethylbenzene,,87-85-4,"Oakwood Chemical, 099647",271,,,0.01,hexane
A10,https://photochemcad.com/databases/common-compounds/aromatic-hydrocarbons,Phenol,,108-95-2,"Sigma-Aldrich, P5566",270.75,,,0.075,hexane
A11,https://photochemcad.com/databases/common-compounds/aromatic-hydrocarbons,Anisole,Methoxybenzene,100-66-3,"Sigma-Aldrich, 296295",220,,,0.45,cyclohexane
A12,https://photochemcad.com/databases/common-compounds/aromatic-hydrocarbons,Benzonitrile,Phenyl cyanide,100-47-0,"Sigma-Aldrich, B8959",222,,,0.23,cyclohexane
A13,https://photochemcad.com/databases/common-compounds/aromatic-hydrocarbons,Benzaldehyde,Phenylmethanal,100-52-7,"Sigma-Aldrich, B1334",242,,,,cyclohexane
A14,https://photochemcad.com/databases/common-compounds/aromatic-hydrocarbons,Benzoic acid,,65-85-0,"Fischer, A65-500",227,,,,methanol
A15,https://photochemcad.com/databases/common-compounds/aromatic-hydrocarbons,Acetophenone,Methyl phenyl ketone,98-86-2,"Sigma-Aldrich, A10701",241,,,,ethanol
A16,https://photochemcad.com/databases/common-compounds/aromatic-hydrocarbons,Aniline,,62-53-3,"Sigma-Aldrich, 242284",288,,,0.17,cyclohexane
A17,https://photochemcad.com/databases/common-compounds/aromatic-hydrocarbons,"N,N-Dimethyl-aniline",,121-69-7,"Oakwood Chemical, 098810",251,,,0.19,cyclohexane
A18,https://photochemcad.com/databases/common-compounds/aromatic-hydrocarbons,Phenylhydrazine Hydrochloride,,59-88-1,"Sigma-Aldrich, 114715",279,,,,PBS
A19,https://photochemcad.com/databases/common-compounds/aromatic-hydrocarbons,Chlorobenzene,,108-90-7,"Sigma-Aldrich, 270644",265,,,0.0042,cyclohexane
A20,https://photochemcad.com/databases/common-compounds/aromatic-hydrocarbons,Iodobenzene,,591-50-4,"Sigma-Aldrich, I7632",228,,,,cyclohexane
A21,https://photochemcad.com/databases/common-compounds/aromatic-hydrocarbons,Nitrobenzene,,98-95-3,"Sigma-Aldrich, 252379",258,,,,ethanol
A22,https://photochemcad.com/databases/common-compounds/aromatic-hydrocarbons,Styrene,Phenylethylene; Vinylbenzene,100-42-5,"Sigma-Aldrich, 240869",248,,,0.22,cyclohexane
A23,https://photochemcad.com/databases/common-compounds/aromatic-hydrocarbons,Phenylacetylene,Ethynylbenzene,536-74-3,"Sigma-Aldrich, 117706",236,,,0.11,benzene
A24,https://photochemcad.com/databases/common-compounds/aromatic-hydrocarbons,"1,4-Diethynylbenzene",,935-14-8,"GFS chemicals, 3385",274,,,0.19,chloroform
A25,https://photochemcad.com/databases/common-compounds/aromatic-hydrocarbons,Phenylpropargyl aldehyde,Phenylpropiolaldehyde; 3-Phenyl-2-propynal,2579-22-8,"Sigma-Aldrich, P3,100-0",277,,,,ethanol
A26,https://photochemcad.com/databases/common-compounds/aromatic-hydrocarbons,Phenylboronic acid,Benzeneboronic acid,98-80-6,"Acros, 130360100",227,,,0.26,cyclohexane
A27,https://photochemcad.com/databases/common-compounds/aromatic-hydrocarbons,Vanillin,4-Hydroxy-3-methoxybenzaldehyde,121-33-5,"Sigma-Aldrich, V110-4",222,,,,cyclohexane
A28,https://photochemcad.com/databases/common-compounds/aromatic-hydrocarbons,3-Hydroxyacetophenone,m-Acetylphenol,121-71-1,"TCI, A0104",218,,,,ethanol
A29,https://photochemcad.com/databases/common-compounds/aromatic-hydrocarbons,Ethyl 4-(dimethylamino)benzoate,Parbenate,10287-53-3,,310.25,,,0.29,cyclohexane
A30,https://photochemcad.com/databases/common-compounds/aromatic-hydrocarbons,Gallacetophenone,"2',3',4'-Trihydroxyacetophenone",528-21-2,"TCI, T1198",291,,,,methanol
A31,https://photochemcad.com/databases/common-compounds/aromatic-hydrocarbons,Terephthalic acid,"Benzene-1,4-dicarboxylic acid; 1,4-dicarboxybenzene",100-21-0,"Sigma-Aldrich, 18,536-1",240,,,,ethanol
A32,https://photochemcad.com/databases/common-compounds/aromatic-hydrocarbons,p-Phenylenediamine,"1,4-Benzenediamine; 1,4-Diaminobenzene; 1,4-Phenylenediamine",106-50-3,"Sigma-Aldrich, P6001",251,,,0.065,acetonitrile
A33,https://photochemcad.com/databases/common-compounds/aromatic-hydrocarbons,Tetraphenylmethane,,630-76-2,,263,,,0.24,cyclohexane
A34,https://photochemcad.com/databases/common-compounds/aromatic-hydrocarbons,N-Phenylbenzylamine,N-Benzylaniline; N-Benzyl-N-phenylamine,103-32-2,"TCI, P0159",245,,,0.164,cyclohexane
A35,https://photochemcad.com/databases/common-compounds/aromatic-hydrocarbons,trans-Chalcone,"Benzylideneacetophenone;  1,3-Diphenyl-2-propen-3-one",614-47-1,"Sigma-Aldrich, 136123",302,,,,cyclohexane
A36,https://photochemcad.com/databases/common-compounds/aromatic-hydrocarbons,Benzophenone,Diphenyl ketone,119-61-9,"Sigma-Aldrich, B9300",252,,,,ethanol
A37,https://photochemcad.com/databases/common-compounds/aromatic-hydrocarbons,"4,4'-Dihydroxybenzophenone",,611-99-4,"TCI, D0577",283,,,,chloroform
A38,https://photochemcad.com/databases/common-compounds/aromatic-hydrocarbons,Diethyl phthalate,,84-66-2,,225,,,,ethanol
A39,https://photochemcad.com/databases/common-compounds/aromatic-hydrocarbons,"1,2,4,5-Tetracyanobenzene",TCNB; Pyromellitic acid tetranitrile,712-74-3,"TCI, T0988",316,,,0.21,chloroform
A40,https://photochemcad.com/databases/common-compounds/aromatic-hydrocarbons,Hexafluorobenzene,,392-56-3,"Sigma-Aldrich, 30,285-6",230,,,0.035,ethanol
A41,https://photochemcad.com/databases/common-compounds/aromatic-hydrocarbons,Ferrocene,Bis(cyclopentadienyl)iron; Di(cyclopentadienyl)iron,102-54-5,,442,,,,cyclohexane
A01,https://photochemcad.com/databases/common-compounds/aromatic-hydrocarbons,Benzene,,71-43-2,"Sigma-Aldrich, 270709",254.75,,,0.053,hexane
A02,https://photochemcad.com/databases/common-compounds/aromatic-hydrocarbons,Toluene,,108-88-3,"Sigma-Aldrich, 650579",261.75,,,0.17,cyclohexane
A03,https://photochemcad.com/databases/common-compounds/aromatic-hydrocarbons,o-Xylene,,95-47-6,"TCI, X0012",263,,,0.17,hexane
A04,https://photochemcad.com/databases/common-compounds/aromatic-hydrocarbons,m-Xylene,,108-38-3,"TCI, X0013",265,,,0.13,hexane
A05,https://photochemcad.com/databases/common-compounds/aromatic-hydrocarbons,p-Xylene,,106-42-3,"Sigma-Aldrich, 296333",275,,,0.22,hexane
A06,https://photochemcad.com/databases/common-compounds/aromatic-hydrocarbons,Mesitylene,"1,3,5-Trimethylbenzene",108-67-8,"Sigma-Aldrich, M7200",265,,,0.088,hexane
A07,https://photochemcad.com/databases/common-compounds/aromatic-hydrocarbons,Durene,"1,2,4,5-Tetramethylbenzene",95-93-2,"Oakwood Chemical, 448616",278,,,0.3,hexane
A08,https://photochemcad.com/databases/common-compounds/aromatic-hydrocarbons,Pentamethylbenzene,,700-12-9,"Alfa Aesar, L04163",271,,,0.075,hexane
A09,https://photochemcad.com/databases/common-compounds/aromatic-hydrocarbons,Hexamethylbenzene,,87-85-4,"Oakwood Chemical, 099647",271,,,0.01,hexane
A10,https://photochemcad.com/databases/common-compounds/aromatic-hydrocarbons,Phenol,,108-95-2,"Sigma-Aldrich, P5566",270.75,,,0.075,hexane
A11,https://photochemcad.com/databases/common-compounds/aromatic-hydrocarbons,Anisole,Methoxybenzene,100-66-3,"Sigma-Aldrich, 296295",220,,,0.45,cyclohexane
A12,https://photochemcad.com/databases/common-compounds/aromatic-hydrocarbons,Benzonitrile,Phenyl cyanide,100-47-0,"Sigma-Aldrich, B8959",222,,,0.23,cyclohexane
A13,https://photochemcad.com/databases/common-compounds/aromatic-hydrocarbons,Benzaldehyde,Phenylmethanal,100-52-7,"Sigma-Aldrich, B1334",242,,,,cyclohexane
A14,https://photochemcad.com/databases/common-compounds/aromatic-hydrocarbons,Benzoic acid,,65-85-0,"Fischer, A65-500",227,,,,methanol
A15,https://photochemcad.com/databases/common-compounds/aromatic-hydrocarbons,Acetophenone,Methyl phenyl ketone,98-86-2,"Sigma-Aldrich, A10701",241,,,,ethanol
A16,https://photochemcad.com/databases/common-compounds/aromatic-hydrocarbons,Aniline,,62-53-3,"Sigma-Aldrich, 242284",288,,,0.17,cyclohexane
A17,https://photochemcad.com/databases/common-compounds/aromatic-hydrocarbons,"N,N-Dimethyl-aniline",,121-69-7,"Oakwood Chemical, 098810",251,,,0.19,cyclohexane
A18,https://photochemcad.com/databases/common-compounds/aromatic-hydrocarbons,Phenylhydrazine Hydrochloride,,59-88-1,"Sigma-Aldrich, 114715",279,,,,PBS
A19,https://photochemcad.com/databases/common-compounds/aromatic-hydrocarbons,Chlorobenzene,,108-90-7,"Sigma-Aldrich, 270644",265,,,0.0042,cyclohexane
A20,https://photochemcad.com/databases/common-compounds/aromatic-hydrocarbons,Iodobenzene,,591-50-4,"Sigma-Aldrich, I7632",228,,,,cyclohexane
A21,https://photochemcad.com/databases/common-compounds/aromatic-hydrocarbons,Nitrobenzene,,98-95-3,"Sigma-Aldrich, 252379",258,,,,ethanol
A22,https://photochemcad.com/databases/common-compounds/aromatic-hydrocarbons,Styrene,Phenylethylene; Vinylbenzene,100-42-5,"Sigma-Aldrich, 240869",248,,,0.22,cyclohexane
A23,https://photochemcad.com/databases/common-compounds/aromatic-hydrocarbons,Phenylacetylene,Ethynylbenzene,536-74-3,"Sigma-Aldrich, 117706",236,,,0.11,benzene
A24,https://photochemcad.com/databases/common-compounds/aromatic-hydrocarbons,"1,4-Diethynylbenzene",,935-14-8,"GFS chemicals, 3385",274,,,0.19,chloroform
A25,https://photochemcad.com/databases/common-compounds/aromatic-hydrocarbons,Phenylpropargyl aldehyde,Phenylpropiolaldehyde; 3-Phenyl-2-propynal,2579-22-8,"Sigma-Aldrich, P3,100-0",277,,,,ethanol
A26,https://photochemcad.com/databases/common-compounds/aromatic-hydrocarbons,Phenylboronic acid,Benzeneboronic acid,98-80-6,"Acros, 130360100",227,,,0.26,cyclohexane
A27,https://photochemcad.com/databases/common-compounds/aromatic-hydrocarbons,Vanillin,4-Hydroxy-3-methoxybenzaldehyde,121-33-5,"Sigma-Aldrich, V110-4",222,,,,cyclohexane
A28,https://photochemcad.com/databases/common-compounds/aromatic-hydrocarbons,3-Hydroxyacetophenone,m-Acetylphenol,121-71-1,"TCI, A0104",218,,,,ethanol
A29,https://photochemcad.com/databases/common-compounds/aromatic-hydrocarbons,Ethyl 4-(dimethylamino)benzoate,Parbenate,10287-53-3,,310.25,,,0.29,cyclohexane
A30,https://photochemcad.com/databases/common-compounds/aromatic-hydrocarbons,Gallacetophenone,"2',3',4'-Trihydroxyacetophenone",528-21-2,"TCI, T1198",291,,,,methanol
A31,https://photochemcad.com/databases/common-compounds/aromatic-hydrocarbons,Terephthalic acid,"Benzene-1,4-dicarboxylic acid; 1,4-dicarboxybenzene",100-21-0,"Sigma-Aldrich, 18,536-1",240,,,,ethanol
A32,https://photochemcad.com/databases/common-compounds/aromatic-hydrocarbons,p-Phenylenediamine,"1,4-Benzenediamine; 1,4-Diaminobenzene; 1,4-Phenylenediamine",106-50-3,"Sigma-Aldrich, P6001",251,,,0.065,acetonitrile
A33,https://photochemcad.com/databases/common-compounds/aromatic-hydrocarbons,Tetraphenylmethane,,630-76-2,,263,,,0.24,cyclohexane
A34,https://photochemcad.com/databases/common-compounds/aromatic-hydrocarbons,N-Phenylbenzylamine,N-Benzylaniline; N-Benzyl-N-phenylamine,103-32-2,"TCI, P0159",245,,,0.164,cyclohexane
A35,https://photochemcad.com/databases/common-compounds/aromatic-hydrocarbons,trans-Chalcone,"Benzylideneacetophenone;  1,3-Diphenyl-2-propen-3-one",614-47-1,"Sigma-Aldrich, 136123",302,,,,cyclohexane
A36,https://photochemcad.com/databases/common-compounds/aromatic-hydrocarbons,Benzophenone,Diphenyl ketone,119-61-9,"Sigma-Aldrich, B9300",252,,,,ethanol
A37,https://photochemcad.com/databases/common-compounds/aromatic-hydrocarbons,"4,4'-Dihydroxybenzophenone",,611-99-4,"TCI, D0577",283,,,,chloroform
A38,https://photochemcad.com/databases/common-compounds/aromatic-hydrocarbons,Diethyl phthalate,,84-66-2,,225,,,,ethanol
A39,https://photochemcad.com/databases/common-compounds/aromatic-hydrocarbons,"1,2,4,5-Tetracyanobenzene",TCNB; Pyromellitic acid tetranitrile,712-74-3,"TCI, T0988",316,,,0.21,chloroform
A40,https://photochemcad.com/databases/common-compounds/aromatic-hydrocarbons,Hexafluorobenzene,,392-56-3,"Sigma-Aldrich, 30,285-6",230,,,0.035,ethanol
A41,https://photochemcad.com/databases/common-compounds/aromatic-hydrocarbons,Ferrocene,Bis(cyclopentadienyl)iron; Di(cyclopentadienyl)iron,102-54-5,,442,,,,cyclohexane
,,,,,,,,,,
E01,https://photochemcad.com/databases/common-compounds/heterocycles,Pyridine,,110-86-1,,251,,,,acetonitrile
E02,https://photochemcad.com/databases/common-compounds/heterocycles,Pyridine N-oxide,,694-59-7,"Sigma-Aldrich, 131652",276,,,,dichloromethane
E03,https://photochemcad.com/databases/common-compounds/heterocycles,2-Acetylpyridine,,1122-62-9,"Sigma-Aldrich, A2,100-2",227,,,,cyclohexane
E04,https://photochemcad.com/databases/common-compounds/heterocycles,4-Dimethylaminopyridine,DMAP,1122-58-3,,257,,,0.017,acetonitrile
E05,https://photochemcad.com/databases/common-compounds/heterocycles,4-(4-Nitrobenzyl)pyridine,,1083-48-3,"TCI, N0183",265,,,,ethanol
E06,https://photochemcad.com/databases/common-compounds/heterocycles,"1,3,5-Triazine",s-Triazine,290-87-9,"Alfa Aesar, L16911",270,,,,ethanol
E07,https://photochemcad.com/databases/common-compounds/heterocycles,Phthalimide,,85-41-6,,215,,,,ethanol
E08,https://photochemcad.com/databases/common-compounds/heterocycles,"2,2'-Bipyridine","2,2_-Bipyridyl; 2,2_-Dipyridine; 2,2_-Dipyridyl",366-18-7,,281,,,,acetonitrile
E09,https://photochemcad.com/databases/common-compounds/heterocycles,"4,4'-Bipyridine","4,4_-Bipyridy; 4,4_-Dipyridine; 4,4_-Dipyridyl",553-26-4,"Alfa Aesar, A10187",238,,,,acetonitrile
E10,https://photochemcad.com/databases/common-compounds/heterocycles,Quinoline,,91-22-5,"Sigma-Aldrich, 241571",204,,,0.01,ethanol
E11,https://photochemcad.com/databases/common-compounds/heterocycles,8-Quinoline carboxylic acid,,86-59-9,"Sigma-Aldrich, 367796",219,,,0.02,ethanol
E12,https://photochemcad.com/databases/common-compounds/heterocycles,3-Quinoline carboxaldehyde,,13669-42-6,"Sigma-Aldrich, 177121",245,,,,ethanol
E13,https://photochemcad.com/databases/common-compounds/heterocycles,Benzothiazole,,95-16-9,"Sigma-Aldrich, 101338",217,,,,ethanol
E14,https://photochemcad.com/databases/common-compounds/heterocycles,Benzotriazole,,95-14-7,"Sigma-Aldrich, B11400",253,,,,ethanol
E15,https://photochemcad.com/databases/common-compounds/heterocycles,2-Methylbenzoxazole,,95-21-6,,231.75,,,,cyclohexane
E16,https://photochemcad.com/databases/common-compounds/heterocycles,Pyrrole,,109-97-7,,206,,,,hexane
E17,https://photochemcad.com/databases/common-compounds/heterocycles,Pyrrole-2-carboxaldehyde,2-Formylpyrrole,1003-29-8,"Oakwood Chemical, 043867",278,,,,hexane
E18,https://photochemcad.com/databases/common-compounds/heterocycles,Thiazole Orange,,107091-89-4,"Sigma-Aldrich, 390062",502,,,,methanol
E19,https://photochemcad.com/databases/common-compounds/heterocycles,Thioflavin T,,2390-54-7,"Sigma-Aldrich, T3516",413,,,0.0004,water
E20,https://photochemcad.com/databases/common-compounds/heterocycles,"Tris(2,2'-bipyridyl)ruthenium(II)","Tris(2,2_-bipyridyl)dichlororuthenium(II)",65034-88-0,,286,,,,water
E21,https://photochemcad.com/databases/common-compounds/heterocycles,4-Chloro-7-nitrobenzofurazan,NBD,10199-89-0,,336,,,,ethanol
E22,https://photochemcad.com/databases/common-compounds/heterocycles,"7-Benzylamino-4-nitrobenz-2-oxa-1,3-diazole","4-Benzylamino-7-nitrobenzofurazan, Benzylamino-NBD",18378-20-6,"Sigma-Aldrich, B-1889",460.5,,,0.36,ethanol
E23,https://photochemcad.com/databases/common-compounds/heterocycles,Carbostyril 124,7-Amino-4-methyl-2-hydroxyquinoline,19840-99-4,,219,,,0.97,water (pH 5 to 9 )
E24,https://photochemcad.com/databases/common-compounds/heterocycles,Quinoline Yellow,Acid Yellow 3,8004-92-0,"TCI, Q0023",413,,,,PBS
E25,https://photochemcad.com/databases/common-compounds/heterocycles,"2,3,5-Triphenyltetrazolium Chloride",Tetrazolium Red,298-96-4,"TCI, T0520",247,,,,PBS
E26,https://photochemcad.com/databases/common-compounds/heterocycles,Quinine sulfate,,207671-44-1,,349,,,0.546,H2SO4 aq (1 N)
E01,https://photochemcad.com/databases/common-compounds/heterocycles,Pyridine,,110-86-1,,251,,,,acetonitrile
E02,https://photochemcad.com/databases/common-compounds/heterocycles,Pyridine N-oxide,,694-59-7,"Sigma-Aldrich, 131652",276,,,,dichloromethane
E03,https://photochemcad.com/databases/common-compounds/heterocycles,2-Acetylpyridine,,1122-62-9,"Sigma-Aldrich, A2,100-2",227,,,,cyclohexane
E04,https://photochemcad.com/databases/common-compounds/heterocycles,4-Dimethylaminopyridine,DMAP,1122-58-3,,257,,,0.017,acetonitrile
E05,https://photochemcad.com/databases/common-compounds/heterocycles,4-(4-Nitrobenzyl)pyridine,,1083-48-3,"TCI, N0183",265,,,,ethanol
E06,https://photochemcad.com/databases/common-compounds/heterocycles,"1,3,5-Triazine",s-Triazine,290-87-9,"Alfa Aesar, L16911",270,,,,ethanol
E07,https://photochemcad.com/databases/common-compounds/heterocycles,Phthalimide,,85-41-6,,215,,,,ethanol
E08,https://photochemcad.com/databases/common-compounds/heterocycles,"2,2'-Bipyridine","2,2_-Bipyridyl; 2,2_-Dipyridine; 2,2_-Dipyridyl",366-18-7,,281,,,,acetonitrile
E09,https://photochemcad.com/databases/common-compounds/heterocycles,"4,4'-Bipyridine","4,4_-Bipyridy; 4,4_-Dipyridine; 4,4_-Dipyridyl",553-26-4,"Alfa Aesar, A10187",238,,,,acetonitrile
E10,https://photochemcad.com/databases/common-compounds/heterocycles,Quinoline,,91-22-5,"Sigma-Aldrich, 241571",204,,,0.01,ethanol
E11,https://photochemcad.com/databases/common-compounds/heterocycles,8-Quinoline carboxylic acid,,86-59-9,"Sigma-Aldrich, 367796",219,,,0.02,ethanol
E12,https://photochemcad.com/databases/common-compounds/heterocycles,3-Quinoline carboxaldehyde,,13669-42-6,"Sigma-Aldrich, 177121",245,,,,ethanol
E13,https://photochemcad.com/databases/common-compounds/heterocycles,Benzothiazole,,95-16-9,"Sigma-Aldrich, 101338",217,,,,ethanol
E14,https://photochemcad.com/databases/common-compounds/heterocycles,Benzotriazole,,95-14-7,"Sigma-Aldrich, B11400",253,,,,ethanol
E15,https://photochemcad.com/databases/common-compounds/heterocycles,2-Methylbenzoxazole,,95-21-6,,231.75,,,,cyclohexane
E16,https://photochemcad.com/databases/common-compounds/heterocycles,Pyrrole,,109-97-7,,206,,,,hexane
E17,https://photochemcad.com/databases/common-compounds/heterocycles,Pyrrole-2-carboxaldehyde,2-Formylpyrrole,1003-29-8,"Oakwood Chemical, 043867",278,,,,hexane
E18,https://photochemcad.com/databases/common-compounds/heterocycles,Thiazole Orange,,107091-89-4,"Sigma-Aldrich, 390062",502,,,,methanol
E19,https://photochemcad.com/databases/common-compounds/heterocycles,Thioflavin T,,2390-54-7,"Sigma-Aldrich, T3516",413,,,0.0004,water
E20,https://photochemcad.com/databases/common-compounds/heterocycles,"Tris(2,2'-bipyridyl)ruthenium(II)","Tris(2,2_-bipyridyl)dichlororuthenium(II)",65034-88-0,,286,,,,water
E21,https://photochemcad.com/databases/common-compounds/heterocycles,4-Chloro-7-nitrobenzofurazan,NBD,10199-89-0,,336,,,,ethanol
E22,https://photochemcad.com/databases/common-compounds/heterocycles,"7-Benzylamino-4-nitrobenz-2-oxa-1,3-diazole","4-Benzylamino-7-nitrobenzofurazan, Benzylamino-NBD",18378-20-6,"Sigma-Aldrich, B-1889",460.5,,,0.36,ethanol
E23,https://photochemcad.com/databases/common-compounds/heterocycles,Carbostyril 124,7-Amino-4-methyl-2-hydroxyquinoline,19840-99-4,,219,,,0.97,water (pH 5 to 9 )
E24,https://photochemcad.com/databases/common-compounds/heterocycles,Quinoline Yellow,Acid Yellow 3,8004-92-0,"TCI, Q0023",413,,,,PBS
E25,https://photochemcad.com/databases/common-compounds/heterocycles,"2,3,5-Triphenyltetrazolium Chloride",Tetrazolium Red,298-96-4,"TCI, T0520",247,,,,PBS
E26,https://photochemcad.com/databases/common-compounds/heterocycles,Quinine sulfate,,207671-44-1,,349,,,0.546,H2SO4 aq (1 N)
,,,,,,,,,,
F01,https://photochemcad.com/databases/common-compounds/biomolecules,L-Alanine,,56-41-7,"Sigma-Aldrich, A26802",262,,,,methanol
F02,https://photochemcad.com/databases/common-compounds/biomolecules,L-Phenylalanine,,63-91-2,"Sigma-Aldrich, P2126",257.5,,,0.022,water
F03,https://photochemcad.com/databases/common-compounds/biomolecules,L-Tyrosine,,60-18-4,"Sigma-Aldrich, T3754",274.25,,,0.13,"phosphate buffer (pH 7, 0.1 M)"
F04,https://photochemcad.com/databases/common-compounds/biomolecules,L-Histidine,,71-00-1,"Sigma-Aldrich, H8000",211,,,,water
F05,https://photochemcad.com/databases/common-compounds/biomolecules,L-Tryptophan,,73-22-3,,278,,,0.12,"phosphate buffer (pH 7, 0.1 M)"
F06,https://photochemcad.com/databases/common-compounds/biomolecules,Adenine,,73-24-5,"Sigma-Aldrich, 104965",261,,,,water (pH 7)
F07,https://photochemcad.com/databases/common-compounds/biomolecules,Guanine,,73-40-5,"Sigma-Aldrich, G11950",243,,,,water
F08,https://photochemcad.com/databases/common-compounds/biomolecules,Cytosine,,71-30-7,,266.75,,,,water
F09,https://photochemcad.com/databases/common-compounds/biomolecules,Thymine,,65-71-4,"Sigma-Aldrich, 131997",263.75,,,,water
F10,https://photochemcad.com/databases/common-compounds/biomolecules,Uracil,,66-22-8,"Sigma-Aldrich, 130788",258.25,,,,water
F11,https://photochemcad.com/databases/common-compounds/biomolecules,2-Amino-4-methylpyrimidine,,108-52-1,"Sigma-Aldrich, A65700",228,,,,ethanol
F12,https://photochemcad.com/databases/common-compounds/biomolecules,"2,4-dihydroxy-6-methylpyrimidine",6-Methyluracil,626-48-2,"Sigma-Aldrich, D115207",259,,,,ethanol
F13,https://photochemcad.com/databases/common-compounds/biomolecules,D-(-)-Salicin,,138-52-3,,212,,,,ethanol
F14,https://photochemcad.com/databases/common-compounds/biomolecules,Riboflavin,Vitamin B2,83-88-5,,263,,,0.3,ethanol
F15,https://photochemcad.com/databases/common-compounds/biomolecules,L-Ascorbic acid,Vitamin C,50-81-7,"Sigma-Aldrich, 255564",265,,,,PBS
F16,https://photochemcad.com/databases/common-compounds/biomolecules,DL-alpha-Tocopherol,Vitamin E,10191-41-0,"Sigma-Aldrich, 258024",206,,,0.14,ethanol
