PhotochemCAD ID,Compound Category,Name,Synonym,CAS,Source,Absorption Wavelength,Absorption epsilon,Absorption coefficient,Quantum Yield,Solvent
F17,https://photochemcad.com/databases/common-compounds/biomolecules,Vitamin K1,"2-Methyl-3-phytyl-1,4-naphthoquinone, Phylloquinone",84-80-0,"Sigma-Aldrich, V3501",248,,,,ethanol
F18,https://photochemcad.com/databases/common-compounds/biomolecules,Folic acid,Vitamin B9,59-30-3,"Oakwood Chemical, 099511",281,,,0.005,water
F01,https://photochemcad.com/databases/common-compounds/biomolecules,L-Alanine,,56-41-7,"Sigma-Aldrich, A26802",262,,,,methanol
F02,https://photochemcad.com/databases/common-compounds/biomolecules,L-Phenylalanine,,63-91-2,"Sigma-Aldrich, P2126",257.5,,,0.022,water
F03,https://photochemcad.com/databases/common-compounds/biomolecules,L-Tyrosine,,60-18-4,"Sigma-Aldrich, T3754",274.25,,,0.13,"phosphate buffer (pH 7, 0.1 M)"
F04,https://photochemcad.com/databases/common-compounds/biomolecules,L-Histidine,,71-00-1,"Sigma-Aldrich, H8000",211,,,,water
F05,https://photochemcad.com/databases/common-compounds/biomolecules,L-Tryptophan,,73-22-3,,278,,,0.12,"phosphate buffer (pH 7, 0.1 M)"
F06,https://photochemcad.com/databases/common-compounds/biomolecules,Adenine,,73-24-5,"Sigma-Aldrich, 104965",261,,,,water (pH 7)
F07,https://photochemcad.com/databases/common-compounds/biomolecules,Guanine,,73-40-5,"Sigma-Aldrich, G11950",243,,,,water
F08,https://photochemcad.com/databases/common-compounds/biomolecules,Cytosine,,71-30-7,,266.75,,,,water
F09,https://photochemcad.com/databases/common-compounds/biomolecules,Thymine,,65-71-4,"Sigma-Aldrich, 131997",263.75,,,,water
F10,https://photochemcad.com/databases/common-compounds/biomolecules,Uracil,,66-22-8,"Sigma-Aldrich, 130788",258.25,,,,water
F11,https://photochemcad.com/databases/common-compounds/biomolecules,2-Amino-4-methylpyrimidine,,108-52-1,"Sigma-Aldrich, A65700",228,,,,ethanol
F12,https://photochemcad.com/databases/common-compounds/biomolecules,"2,4-dihydroxy-6-methylpyrimidine",6-Methyluracil,626-48-2,"Sigma-Aldrich, D115207",259,,,,ethanol
F13,https://photochemcad.com/databases/common-compounds/biomolecules,D-(-)-Salicin,,138-52-3,,212,,,,ethanol
F14,https://photochemcad.com/databases/common-compounds/biomolecules,Riboflavin,Vitamin B2,83-88-5,,263,,,0.3,ethanol
F15,https://photochemcad.com/databases/common-compounds/biomolecules,L-Ascorbic acid,Vitamin C,50-81-7,"Sigma-Aldrich, 255564",265,,,,PBS
F16,https://photochemcad.com/databases/common-compounds/biomolecules,DL-alpha-Tocopherol,Vitamin E,10191-41-0,"Sigma-Aldrich, 258024",206,,,0.14,ethanol
F17,https://photochemcad.com/databases/common-compounds/biomolecules,Vitamin K1,"2-Methyl-3-phytyl-1,4-naphthoquinone, Phylloquinone",84-80-0,"Sigma-Aldrich, V3501",248,,,,ethanol
F18,https://photochemcad.com/databases/common-compounds/biomolecules,Folic acid,Vitamin B9,59-30-3,"Oakwood Chemical, 099511",281,,,0.005,water
,,,,,,,,,,
G01,https://photochemcad.com/databases/common-compounds/quinones,"1,4-Benzoquinone",,106-51-4,"Sigma-Aldrich, B10358",239.75,,,,acetonitrile
G02,https://photochemcad.com/databases/common-compounds/quinones,Hydroquinone,"1,4-Benzenediol, 1,4-Dihydroxybenzene",123-31-9,"Sigma-Aldrich, 240125",225,,,0.16,acetonitrile
G03,https://photochemcad.com/databases/common-compounds/quinones,"2,3,5,6-Tetrachloro-1,4-benzoquinone",p-Chloranil,118-75-2,"Sigma-Aldrich, 232017",288,,,,acetonitrile
G04,https://photochemcad.com/databases/common-compounds/quinones,Tetrachlorohydroquinone,"2,3,5,6-Tetrachloro-1,4-benzendiol",87-87-6,"Sigma-Aldrich, T2153",211,,,,acetonitrile
G05,https://photochemcad.com/databases/common-compounds/quinones,"2,3,5,6-Tetramethyl-1,4-benzoquinone",Duroquinone,527-17-3,"Sigma-Aldrich, D223204",270,,,,acetonitrile
G06,https://photochemcad.com/databases/common-compounds/quinones,"2,3-Dichloro-5,6-dicyano-1,4-benzoquinone",DDQ,84-58-2,"Oakwood Chemical, 127800",287,,,,chloroform
G07,https://photochemcad.com/databases/common-compounds/quinones,"3,4,5,6-Tetrachloro-1,2-benzoquinone",o-Chloranil,2435-53-2,"Sigma-Aldrich, T6601",458,,,,chloroform
G08,https://photochemcad.com/databases/common-compounds/quinones,"2,5-Diphenyl-1,4-benzoquinone",,844-51-9,"Alfa Aesar, A15369",243,,,,acetonitrile
G09,https://photochemcad.com/databases/common-compounds/quinones,"2,5-Di-tert-butyl-1,4-benzoquinone",,2460-77-7,"Sigma-Aldrich, 419648",258,,,,acetonitrile
G10,https://photochemcad.com/databases/common-compounds/quinones,Tetracyanoethylene,TCNE,670-54-2,"Alfa Aesar, A13945",267,,,,chloroform
G11,https://photochemcad.com/databases/common-compounds/quinones,"7,7,8,8-Tetracyanoquinodimethane",TCNQ,1518-16-7,"TCI, T0078",401,,,,chloroform
G12,https://photochemcad.com/databases/common-compounds/quinones,"1,4-Naphthoquinone",alpha-Naphthoquinone,130-15-4,"TCI, N0040",246,,,,ethanol
G13,https://photochemcad.com/databases/common-compounds/quinones,"1,4-Naphthoquinone-2-sulfonic acid, Potassium salt",,34169-62-5,"Sigma-Aldrich, S970999",255,,,,water
G14,https://photochemcad.com/databases/common-compounds/quinones,"2,3-Dichloro-1,4-naphthoquinone",Dichlone,117-80-6,"Oakwood Chemical, 223440",280,,,,ethanol
G15,https://photochemcad.com/databases/common-compounds/quinones,"2-Methyl-1,4-naphthoquinone","Menadione, Vitamin K3",58-27-5,"Sigma-Aldrich, M5625",251,,,,ethanol
G16,https://photochemcad.com/databases/common-compounds/quinones,"9,10-Phenanthrenequinone",,84-11-7,"Sigma-Aldrich, 156507",268,,,,chloroform
G17,https://photochemcad.com/databases/common-compounds/quinones,"1,2-Naphthoquinone",beta-Naphthoquinone,524-42-5,"Sigma-Aldrich, 346616",249,,,,methanol
G18,https://photochemcad.com/databases/common-compounds/quinones,"1,2-Naphthoquinone-4-sulfonic acid, sodium salt",,521-24-4,"Sigma-Aldrich, 226017",250,,,,methanol
G19,https://photochemcad.com/databases/common-compounds/quinones,"9,10-Anthraquinone",,84-65-1,"Sigma-Aldrich, A90004",251.25,,,,ethanol
G20,https://photochemcad.com/databases/common-compounds/quinones,Alizarin,"1,2-Dihydroxyanthraquinone, Mordant Red 11",72-48-0,"TCI, D0242",248,,,,ethanol
G21,https://photochemcad.com/databases/common-compounds/quinones,Alizarin Red S,,130-22-3,"Oakwood Chemical, 242552",250,,,,ethanol
G22,https://photochemcad.com/databases/common-compounds/quinones,"1,4-Anthraquinone",,635-12-1,"Alfa Aesar, L00573",233,,,,ethanol
G23,https://photochemcad.com/databases/common-compounds/quinones,"5,12-Naphthacenequinone",Tetracenequinone,1090-13-7,"Sigma-Aldrich, 198773",296,,,0.43,benzene
G24,https://photochemcad.com/databases/common-compounds/quinones,"6,13-Pentacenequinone",,3029-32-1,"Sigma-Aldrich, 246883",303,,,0.54,benzene
G01,https://photochemcad.com/databases/common-compounds/quinones,"1,4-Benzoquinone",,106-51-4,"Sigma-Aldrich, B10358",239.75,,,,acetonitrile
G02,https://photochemcad.com/databases/common-compounds/quinones,Hydroquinone,"1,4-Benzenediol, 1,4-Dihydroxybenzene",123-31-9,"Sigma-Aldrich, 240125",225,,,0.16,acetonitrile
G03,https://photochemcad.com/databases/common-compounds/quinones,"2,3,5,6-Tetrachloro-1,4-benzoquinone",p-Chloranil,118-75-2,"Sigma-Aldrich, 232017",288,,,,acetonitrile
G04,https://photochemcad.com/databases/common-compounds/quinones,Tetrachlorohydroquinone,"2,3,5,6-Tetrachloro-1,4-benzendiol",87-87-6,"Sigma-Aldrich, T2153",211,,,,acetonitrile
G05,https://photochemcad.com/databases/common-compounds/quinones,"2,3,5,6-Tetramethyl-1,4-benzoquinone",Duroquinone,527-17-3,"Sigma-Aldrich, D223204",270,,,,acetonitrile
G06,https://photochemcad.com/databases/common-compounds/quinones,"2,3-Dichloro-5,6-dicyano-1,4-benzoquinone",DDQ,84-58-2,"Oakwood Chemical, 127800",287,,,,chloroform
G07,https://photochemcad.com/databases/common-compounds/quinones,"3,4,5,6-Tetrachloro-1,2-benzoquinone",o-Chloranil,2435-53-2,"Sigma-Aldrich, T6601",458,,,,chloroform
G08,https://photochemcad.com/databases/common-compounds/quinones,"2,5-Diphenyl-1,4-benzoquinone",,844-51-9,"Alfa Aesar, A15369",243,,,,acetonitrile
G09,https://photochemcad.com/databases/common-compounds/quinones,"2,5-Di-tert-butyl-1,4-benzoquinone",,2460-77-7,"Sigma-Aldrich, 419648",258,,,,acetonitrile
G10,https://photochemcad.com/databases/common-compounds/quinones,Tetracyanoethylene,TCNE,670-54-2,"Alfa Aesar, A13945",267,,,,chloroform
G11,https://photochemcad.com/databases/common-compounds/quinones,"7,7,8,8-Tetracyanoquinodimethane",TCNQ,1518-16-7,"TCI, T0078",401,,,,chloroform
G12,https://photochemcad.com/databases/common-compounds/quinones,"1,4-Naphthoquinone",alpha-Naphthoquinone,130-15-4,"TCI, N0040",246,,,,ethanol
G13,https://photochemcad.com/databases/common-compounds/quinones,"1,4-Naphthoquinone-2-sulfonic acid, Potassium salt",,34169-62-5,"Sigma-Aldrich, S970999",255,,,,water
G14,https://photochemcad.com/databases/common-compounds/quinones,"2,3-Dichloro-1,4-naphthoquinone",Dichlone,117-80-6,"Oakwood Chemical, 223440",280,,,,ethanol
G15,https://photochemcad.com/databases/common-compounds/quinones,"2-Methyl-1,4-naphthoquinone","Menadione, Vitamin K3",58-27-5,"Sigma-Aldrich, M5625",251,,,,ethanol
G16,https://photochemcad.com/databases/common-compounds/quinones,"9,10-Phenanthrenequinone",,84-11-7,"Sigma-Aldrich, 156507",268,,,,chloroform
G17,https://photochemcad.com/databases/common-compounds/quinones,"1,2-Naphthoquinone",beta-Naphthoquinone,524-42-5,"Sigma-Aldrich, 346616",249,,,,methanol
G18,https://photochemcad.com/databases/common-compounds/quinones,"1,2-Naphthoquinone-4-sulfonic acid, sodium salt",,521-24-4,"Sigma-Aldrich, 226017",250,,,,methanol
G19,https://photochemcad.com/databases/common-compounds/quinones,"9,10-Anthraquinone",,84-65-1,"Sigma-Aldrich, A90004",251.25,,,,ethanol
G20,https://photochemcad.com/databases/common-compounds/quinones,Alizarin,"1,2-Dihydroxyanthraquinone, Mordant Red 11",72-48-0,"TCI, D0242",248,,,,ethanol
G21,https://photochemcad.com/databases/common-compounds/quinones,Alizarin Red S,,130-22-3,"Oakwood Chemical, 242552",250,,,,ethanol
G22,https://photochemcad.com/databases/common-compounds/quinones,"1,4-Anthraquinone",,635-12-1,"Alfa Aesar, L00573",233,,,,ethanol
G23,https://photochemcad.com/databases/common-compounds/quinones,"5,12-Naphthacenequinone",Tetracenequinone,1090-13-7,"Sigma-Aldrich, 198773",296,,,0.43,benzene
G24,https://photochemcad.com/databases/common-compounds/quinones,"6,13-Pentacenequinone",,3029-32-1,"Sigma-Aldrich, 246883",303,,,0.54,benzene
,,,,,,,,,,
H01,https://photochemcad.com/databases/common-compounds/coumarins,Coumarin,,91-64-5,"TCI, C0395",275,,,,ethanol
H02,https://photochemcad.com/databases/common-compounds/coumarins,4-Hydroxycoumarin,,1076-38-6,"Oakwood Chemical, 209309",280,,,0.003,ethanol
H03,https://photochemcad.com/databases/common-compounds/coumarins,7-Hydroxycoumarin,Umbelliferone,93-35-6,"Oakwood Chemical, 076753",326,,,0.08,methanol
H04,https://photochemcad.com/databases/common-compounds/coumarins,7-Hydroxy-4-(trifluoromethyl)coumarin,4-trifluoromethylumbeliferone,575-03-1,"Oakwood Chemical, 006626",338,,,0.2,ethanol
H05,https://photochemcad.com/databases/common-compounds/coumarins,7-Methoxycoumarin-4-acetic acid,,62935-72-2,,323.75,,,0.18,methanol
H06,https://photochemcad.com/databases/common-compounds/coumarins,Coumarin 1,7-(Diethylamino)-4-methylcoumarin,91-44-1,,373.25,,,0.5,ethanol
H07,https://photochemcad.com/databases/common-compounds/coumarins,Coumarin 6,,38215-36-0,,459.25,,,0.78,ethanol
H08,https://photochemcad.com/databases/common-compounds/coumarins,Coumarin 7,3-(2-Benzimidazolyl)-7-(diethylamino)coumarin,27425-55-4,"TCI, B2111",436,,,0.82,methanol
H09,https://photochemcad.com/databases/common-compounds/coumarins,Coumarin 30,,41044-12-6,,407.5,,,0.8,ethanol
H10,https://photochemcad.com/databases/common-compounds/coumarins,Coumarin 151,7-Amino-4-(trifluoromethyl)coumarin,53518-15-3,"Oakwood Chemical, 004029",384,,,0.53,ethanol
H11,https://photochemcad.com/databases/common-compounds/coumarins,Coumarin 314,,55804-66-5,,436,,,0.68,ethanol
H12,https://photochemcad.com/databases/common-compounds/coumarins,Coumarin 343,,55804-65-4,,444.75,,,0.63,ethanol
H13,https://photochemcad.com/databases/common-compounds/coumarins,Calcein Blue,4-Methylumbelliferone-8-methyliminodiacetic acid,54375-47-2,"Sigma-Aldrich, M1255",361,,,0.59,PBS
H14,https://photochemcad.com/databases/common-compounds/coumarins,Urolithin B,3-Hydroxy-6H-benzo[c]chromen-6-one,1139-83-9,"Sigma-Aldrich, OTV000001",278,,,0.21,dimethylformamide
H01,https://photochemcad.com/databases/common-compounds/coumarins,Coumarin,,91-64-5,"TCI, C0395",275,,,,ethanol
H02,https://photochemcad.com/databases/common-compounds/coumarins,4-Hydroxycoumarin,,1076-38-6,"Oakwood Chemical, 209309",280,,,0.003,ethanol
H03,https://photochemcad.com/databases/common-compounds/coumarins,7-Hydroxycoumarin,Umbelliferone,93-35-6,"Oakwood Chemical, 076753",326,,,0.08,methanol
H04,https://photochemcad.com/databases/common-compounds/coumarins,7-Hydroxy-4-(trifluoromethyl)coumarin,4-trifluoromethylumbeliferone,575-03-1,"Oakwood Chemical, 006626",338,,,0.2,ethanol
H05,https://photochemcad.com/databases/common-compounds/coumarins,7-Methoxycoumarin-4-acetic acid,,62935-72-2,,323.75,,,0.18,methanol
H06,https://photochemcad.com/databases/common-compounds/coumarins,Coumarin 1,7-(Diethylamino)-4-methylcoumarin,91-44-1,,373.25,,,0.5,ethanol
H07,https://photochemcad.com/databases/common-compounds/coumarins,Coumarin 6,,38215-36-0,,459.25,,,0.78,ethanol
H08,https://photochemcad.com/databases/common-compounds/coumarins,Coumarin 7,3-(2-Benzimidazolyl)-7-(diethylamino)coumarin,27425-55-4,"TCI, B2111",436,,,0.82,methanol
H09,https://photochemcad.com/databases/common-compounds/coumarins,Coumarin 30,,41044-12-6,,407.5,,,0.8,ethanol
H10,https://photochemcad.com/databases/common-compounds/coumarins,Coumarin 151,7-Amino-4-(trifluoromethyl)coumarin,53518-15-3,"Oakwood Chemical, 004029",384,,,0.53,ethanol
H11,https://photochemcad.com/databases/common-compounds/coumarins,Coumarin 314,,55804-66-5,,436,,,0.68,ethanol
H12,https://photochemcad.com/databases/common-compounds/coumarins,Coumarin 343,,55804-65-4,,444.75,,,0.63,ethanol
H13,https://photochemcad.com/databases/common-compounds/coumarins,Calcein Blue,4-Methylumbelliferone-8-methyliminodiacetic acid,54375-47-2,"Sigma-Aldrich, M1255",361,,,0.59,PBS
H14,https://photochemcad.com/databases/common-compounds/coumarins,Urolithin B,3-Hydroxy-6H-benzo[c]chromen-6-one,1139-83-9,"Sigma-Aldrich, OTV000001",278,,,0.21,dimethylformamide
,,,,,,,,,,
I01,https://photochemcad.com/databases/common-compounds/acridines,Acridine,,260-94-6,"Oakwood Chemical, 332696-1g",247,,,0.0079,ethanol
I02,https://photochemcad.com/databases/common-compounds/acridines,Proflavine hydrochloride,"3,6-Diaminoacridine hydrochloride",952-23-8,"Sigma-Aldrich, 131105",261,,,0.34,water (pH 4)
I03,https://photochemcad.com/databases/common-compounds/acridines,Acridine Orange,Basic Orange 14,65-61-2,,270.5,,,0.2,ethanol (basic)
I04,https://photochemcad.com/databases/common-compounds/acridines,Acridine Yellow G,"3,6-Diamino-2,7-dimethylacridine",135-49-9,"Sigma-Aldrich, 199508",264,,,0.47,ethanol
I05,https://photochemcad.com/databases/common-compounds/acridines,Acridone,"9(10H)-Acridanone, 9,10-Dihydro-9-oxoacridine",578-95-0,"Oakwood Chemical, 078876",249,,,0.42,ethanol
I06,https://photochemcad.com/databases/common-compounds/acridines,Phenazine,,92-82-0,"Oakwood Chemical, 240993",248,,,,ethanol
I07,https://photochemcad.com/databases/common-compounds/acridines,Phenosafranin,,81-93-6,"Sigma-Aldrich, 199648",533,,,0.2,methanol
I08,https://photochemcad.com/databases/common-compounds/acridines,Neutral Red,Basic Red 5,553-24-2,"Sigma-Aldrich, 72210",278,,,0.044,ethanol
I09,https://photochemcad.com/databases/common-compounds/acridines,Janus Green B,,2869-83-2,"Alfa Aesar, A17391",587,,,,PBS
I10,https://photochemcad.com/databases/common-compounds/acridines,Phenothiazine,10H-Phenothiazine,92-84-2,"TCI, P0106",253,,,0.006,cyclohexane
I11,https://photochemcad.com/databases/common-compounds/acridines,Thionin,"Thionine, 3,7-Diaminophenothiazin-5-Ium Chloride",26754-93-8,,605,,,0.04,ethanol
I12,https://photochemcad.com/databases/common-compounds/acridines,Methylene blue,Basic Blue 9 Hydrate,61-73-4,"TCI, M0501",656,,,0.04,ethanol
I13,https://photochemcad.com/databases/common-compounds/acridines,Azure II,,37247-10-2,"Alfa Aesar, A11777",654,,,0.04,ethanol
I14,https://photochemcad.com/databases/common-compounds/acridines,Toluidine Blue O,Basic Blue 17,92-31-9,"Sigma-Aldrich, 198161",628,,,0.076,ethanol
I15,https://photochemcad.com/databases/common-compounds/acridines,Phenoxathiin,,262-20-4,"Sigma-Aldrich, 218820",237,,,,ethanol
I16,https://photochemcad.com/databases/common-compounds/acridines,Phenoxazine,,135-67-1,"TCI, P0899",239,,,0.025,ethanol
I17,https://photochemcad.com/databases/common-compounds/acridines,Oxazine 1,"Oxazine 725, Oxazine 1 perchlorate",24796-94-9,"Sigma-Aldrich, 370096",642.5,,,0.11,ethanol
I18,https://photochemcad.com/databases/common-compounds/acridines,Cresyl Violet perchlorate,Cresyl Violet 670,41830-80-2,,603,,,0.54,methanol
I19,https://photochemcad.com/databases/common-compounds/acridines,Nile Red,"Nile Blue A Oxazone, Oxazine 17",7385-67-3,,519.4,,,0.7,dioxane
I20,https://photochemcad.com/databases/common-compounds/acridines,Nile Blue,Nile Blue A perchlorate,53340-16-2,,627.5,,,0.27,ethanol
I21,https://photochemcad.com/databases/common-compounds/acridines,Oxazine 170,"Oxazine 720, Oxazine 170 perchlorate",62669-60-7,"Sigma-Aldrich, 372056",613.25,,,0.63,methanol
I01,https://photochemcad.com/databases/common-compounds/acridines,Acridine,,260-94-6,"Oakwood Chemical, 332696-1g",247,,,0.0079,ethanol
I02,https://photochemcad.com/databases/common-compounds/acridines,Proflavine hydrochloride,"3,6-Diaminoacridine hydrochloride",952-23-8,"Sigma-Aldrich, 131105",261,,,0.34,water (pH 4)
I03,https://photochemcad.com/databases/common-compounds/acridines,Acridine Orange,Basic Orange 14,65-61-2,,270.5,,,0.2,ethanol (basic)
I04,https://photochemcad.com/databases/common-compounds/acridines,Acridine Yellow G,"3,6-Diamino-2,7-dimethylacridine",135-49-9,"Sigma-Aldrich, 199508",264,,,0.47,ethanol
I05,https://photochemcad.com/databases/common-compounds/acridines,Acridone,"9(10H)-Acridanone, 9,10-Dihydro-9-oxoacridine",578-95-0,"Oakwood Chemical, 078876",249,,,0.42,ethanol
I06,https://photochemcad.com/databases/common-compounds/acridines,Phenazine,,92-82-0,"Oakwood Chemical, 240993",248,,,,ethanol
I07,https://photochemcad.com/databases/common-compounds/acridines,Phenosafranin,,81-93-6,"Sigma-Aldrich, 199648",533,,,0.2,methanol
I08,https://photochemcad.com/databases/common-compounds/acridines,Neutral Red,Basic Red 5,553-24-2,"Sigma-Aldrich, 72210",278,,,0.044,ethanol
I09,https://photochemcad.com/databases/common-compounds/acridines,Janus Green B,,2869-83-2,"Alfa Aesar, A17391",587,,,,PBS
I10,https://photochemcad.com/databases/common-compounds/acridines,Phenothiazine,10H-Phenothiazine,92-84-2,"TCI, P0106",253,,,0.006,cyclohexane
I11,https://photochemcad.com/databases/common-compounds/acridines,Thionin,"Thionine, 3,7-Diaminophenothiazin-5-Ium Chloride",26754-93-8,,605,,,0.04,ethanol
I12,https://photochemcad.com/databases/common-compounds/acridines,Methylene blue,Basic Blue 9 Hydrate,61-73-4,"TCI, M0501",656,,,0.04,ethanol
I13,https://photochemcad.com/databases/common-compounds/acridines,Azure II,,37247-10-2,"Alfa Aesar, A11777",654,,,0.04,ethanol
I14,https://photochemcad.com/databases/common-compounds/acridines,Toluidine Blue O,Basic Blue 17,92-31-9,"Sigma-Aldrich, 198161",628,,,0.076,ethanol
I15,https://photochemcad.com/databases/common-compounds/acridines,Phenoxathiin,,262-20-4,"Sigma-Aldrich, 218820",237,,,,ethanol
I16,https://photochemcad.com/databases/common-compounds/acridines,Phenoxazine,,135-67-1,"TCI, P0899",239,,,0.025,ethanol
I17,https://photochemcad.com/databases/common-compounds/acridines,Oxazine 1,"Oxazine 725, Oxazine 1 perchlorate",24796-94-9,"Sigma-Aldrich, 370096",642.5,,,0.11,ethanol
I18,https://photochemcad.com/databases/common-compounds/acridines,Cresyl Violet perchlorate,Cresyl Violet 670,41830-80-2,,603,,,0.54,methanol
I19,https://photochemcad.com/databases/common-compounds/acridines,Nile Red,"Nile Blue A Oxazone, Oxazine 17",7385-67-3,,519.4,,,0.7,dioxane
I20,https://photochemcad.com/databases/common-compounds/acridines,Nile Blue,Nile Blue A perchlorate,53340-16-2,,627.5,,,0.27,ethanol
I21,https://photochemcad.com/databases/common-compounds/acridines,Oxazine 170,"Oxazine 720, Oxazine 170 perchlorate",62669-60-7,"Sigma-Aldrich, 372056",613.25,,,0.63,methanol
,,,,,,,,,,
J01,https://photochemcad.com/databases/common-compounds/azo-dyes,Azobenzene,,103-33-3,,319,,,,benzene
J02,https://photochemcad.com/databases/common-compounds/azo-dyes,Acid Red 2,"Methyl Red, 4-Dimethylaminoazobenzene-2'-carboxylic Acid",493-52-7,"TCI, M0421",430,,,,PBS
J03,https://photochemcad.com/databases/common-compounds/azo-dyes,Methyl Orange,Acid Orange 52,547-58-0,"Oakwood Chemical, 492450",466,,,,PBS
J04,https://photochemcad.com/databases/common-compounds/azo-dyes,Orange G,Acid Orange 10,1936-15-8,"Sigma-Aldrich, O3756",478,,,,PBS
J05,https://photochemcad.com/databases/common-compounds/azo-dyes,Orange II,Acid Orange 7,633-96-5,"TCI, G0158",486,,,,PBS
J06,https://photochemcad.com/databases/common-compounds/azo-dyes,Acid Red 88,"Acid Red A, Fast Red, 2-Naphthol Red",1658-56-6,"TCI, F0087",503,,,,PBS
J07,https://photochemcad.com/databases/common-compounds/azo-dyes,Sudan I,1-Phenylazo-2-naphthol,842-07-9,"Oakwood Chemical, 099186",481,,,,ethanol
J08,https://photochemcad.com/databases/common-compounds/azo-dyes,Sudan II,"Solvent Orange 7, 1-(2,4-Xylidylazo)-2-naphthol",3118-97-6,"TCI, O0101",498,,,,ethanol
J09,https://photochemcad.com/databases/common-compounds/azo-dyes,Acid Violet 3,,1681-60-3,"TCI, P0592",555,,,,PBS
J10,https://photochemcad.com/databases/common-compounds/azo-dyes,Acid Red 1,Azophloxine,3734-67-6,"TCI, A0585",530,,,,PBS
J11,https://photochemcad.com/databases/common-compounds/azo-dyes,Acid Red 14,"Azo Rubine, Carmoisine",3567-69-9,"TCI, A0580",512,,,,PBS
J12,https://photochemcad.com/databases/common-compounds/azo-dyes,Acid Blue 92,Acid Blue A,3861-73-2,"TCI, C1027",563,,,,PBS
J13,https://photochemcad.com/databases/common-compounds/azo-dyes,Sudan III,Solvent Red 23,85-86-9,"TCI, S0142",504,,,,ethanol
J14,https://photochemcad.com/databases/common-compounds/azo-dyes,Sudan IV,Solvent Red 24,85-83-6,"TCI, O0100",518,,,,ethanol
J15,https://photochemcad.com/databases/common-compounds/azo-dyes,Acid Black 1,Naphthol Blue Black,1064-48-8,"TCI, A2097",619,,,,PBS
J16,https://photochemcad.com/databases/common-compounds/azo-dyes,Ponceau S,Acid Red 112,6226-79-5,"Sigma-Aldrich, P3504",513,,,,PBS
J17,https://photochemcad.com/databases/common-compounds/azo-dyes,Congo Red,Direct Red 28,573-58-0,"Ward's Science, 470300-790",483,,,,PBS
J18,https://photochemcad.com/databases/common-compounds/azo-dyes,Benzopurpurin 4B,"Direct Red 2, Benzopurpurin",992-59-6,,497,,,,water
