Identifier,Category,Name,Synonym,CAS,Ⲗabs.max (nm),τf (ns),φF,Solvent,φISC,E(0.0; S1),E(0.0; T1),Ered,Eox,Ered. S1,Eox. S1,Ered. T1,Eox. T1,Molecular Weight,Chemical Formula,SMILES,H-Bond Donor Count,H-Bond Acceptor Count,Solubility,Melting Point,Boiling Point,pKa
A01,Aromatic Hydrocarbons,Benzene,,71-43-2,254.75,,0.053,Hexane,,,,,,,,,,78.11,C6H6,C1=CC=CC=C1,0,0,,,,
A02,Aromatic Hydrocarbons,Toluene,,108-88-3,261.75,,0.17,Cyclohexane,,,,,,,,,,92.14,C7H8,CC1=CC=CC=C1,0,0,,,,
A03,Aromatic Hydrocarbons,O-xylene,,95-47-6,263.0,,0.17,Hexane,,,,,,,,,,106.16,C8H10,CC1=CC=CC=C1C,0,0,,,,
A04,Aromatic Hydrocarbons,M-xylene,,108-38-3,265.0,,0.13,Hexane,,,,,,,,,,106.16,C8H10,CC1=CC(=CC=C1)C,0,0,,,,
A05,Aromatic Hydrocarbons,P-xylene,,106-42-3,275.0,,0.22,Hexane,,,,,,,,,,106.16,C8H10,CC1=CC=C(C=C1)C,0,0,,,,
A06,Aromatic Hydrocarbons,Mesitylene,1.3.5-Trimethylbenzene,108-67-8,265.0,,0.088,Hexane,,,,,,,,,,120.19,C9H12,CC1=CC(=CC(=C1)C)C,0,0,,,,
A07,Aromatic Hydrocarbons,Durene,1.2.4.5-Tetramethylbenzene,95-93-2,278.0,,0.3,Hexane,,,,,,,,,,134.22,C10H14,CC1=CC(=C(C=C1C)C)C,0,0,,,,
A08,Aromatic Hydrocarbons,Pentamethylbenzene,,700-12-9,271.0,,0.075,Hexane,,,,,,,,,,148.24,C11H16,CC1=CC(=C(C(=C1C)C)C)C,0,0,,,,
A09,Aromatic Hydrocarbons,Hexamethylbenzene,,87-85-4,271.0,,0.01,Hexane,,,,,,,,,,162.27,C12H18,CC1=C(C(=C(C(=C1C)C)C)C)C,0,0,,,,
A10,Aromatic Hydrocarbons,Phenol,,108-95-2,270.75,,0.075,Hexane,,,,,,,,,,94.11,C6H6O,C1=CC=C(C=C1)O,1,1,,,,
A11,Aromatic Hydrocarbons,Anisole,Methoxybenzene,100-66-3,220.0,,0.45,Cyclohexane,,,,,,,,,,108.14,C7H8O,COC1=CC=CC=C1,0,1,,,,
A12,Aromatic Hydrocarbons,Benzonitrile,Phenyl Cyanide,100-47-0,222.0,,0.23,Cyclohexane,,,,,,,,,,103.12,C7H5N,C1=CC=C(C=C1)C#N,0,1,,,,
A13,Aromatic Hydrocarbons,Benzaldehyde,Phenylmethanal,100-52-7,242.0,,,Cyclohexane,,,,,,,,,,106.12,C7H6O,C1=CC=C(C=C1)C=O,0,1,,,,
A14,Aromatic Hydrocarbons,Benzoic acid,,65-85-0,227.0,,,Methanol,,,,,,,,,,122.12,C7H6O2,C1=CC=C(C=C1)C(=O)O,1,2,,,,
A15,Aromatic Hydrocarbons,Acetophenone,Methyl Phenyl Ketone,98-86-2,241.0,,,Ethanol,,,,,,,,,,120.15,C8H8O,CC(=O)C1=CC=CC=C1,0,1,,,,
A16,Aromatic Hydrocarbons,Aniline,,62-53-3,288.0,,0.17,Cyclohexane,,,,,,,,,,93.13,C6H7N,C1=CC=C(C=C1)N,1,1,,,,
A17,Aromatic Hydrocarbons,N.n-dimethyl-aniline,,121-69-7,251.0,,0.19,Cyclohexane,,,,,,,,,,121.18,C8H11N,CN(C)C1=CC=CC=C1,0,1,,,,
A18,Aromatic Hydrocarbons,Phenylhydrazine hydrochloride,,59-88-1,279.0,,,Pbs,,,,,,,,,,144.60,C6H9ClN2,C1=CC=C(C=C1)NN.Cl,3,2,,,,
A19,Aromatic Hydrocarbons,Chlorobenzene,,108-90-7,265.0,,0.0042,Cyclohexane,,,,,,,,,,112.55,C6H5Cl,C1=CC=C(C=C1)Cl,0,0,,,,
A20,Aromatic Hydrocarbons,Iodobenzene,,591-50-4,228.0,,,Cyclohexane,,,,,,,,,,204.01,C6H5I,C1=CC=C(C=C1)I,0,0,,,,
A21,Aromatic Hydrocarbons,Nitrobenzene,,98-95-3,258.0,,,Ethanol,,,,,,,,,,123.11,C6H5NO2,C1=CC=C(C=C1)[N+](=O)[O-],0,2,,,,
A22,Aromatic Hydrocarbons,Styrene,Phenylethylene; Vinylbenzene,100-42-5,248.0,,0.22,Cyclohexane,,,,,,,,,,104.15,C8H8,C=CC1=CC=CC=C1,0,0,,,,
A23,Aromatic Hydrocarbons,Phenylacetylene,Ethynylbenzene,536-74-3,236.0,,0.11,Benzene,,,,,,,,,,102.13,C8H6,C#CC1=CC=CC=C1,0,0,,,,
A24,Aromatic Hydrocarbons,1.4-diethynylbenzene,,935-14-8,274.0,,0.19,Chloroform,,,,,,,,,,126.15,C10H6,C#CC1=CC=C(C=C1)C#C,0,0,,,,
A25,Aromatic Hydrocarbons,Phenylpropargyl aldehyde,Phenylpropiolaldehyde; 3-Phenyl-2-Propynal,2579-22-8,277.0,,,Ethanol,,,,,,,,,,130.14,C9H6O,C1=CC=C(C=C1)C#CC=O,0,1,,,,
A26,Aromatic Hydrocarbons,Phenylboronic acid,Benzeneboronic Acid,98-80-6,227.0,,0.26,Cyclohexane,,,,,,,,,,121.93,C6H7BO2,B(C1=CC=CC=C1)(O)O,2,2,,,,
A27,Aromatic Hydrocarbons,Vanillin,4-Hydroxy-3-Methoxybenzaldehyde,121-33-5,222.0,,,Cyclohexane,,,,,,,,,,152.15,C8H8O3,COC1=C(C=CC(=C1)C=O)O,1,3,,,,
A28,Aromatic Hydrocarbons,3-hydroxyacetophenone,M-Acetylphenol,121-71-1,218.0,,,Ethanol,,,,,,,,,,136.15,C8H8O2,CC(=O)C1=CC(=CC=C1)O,1,2,,,,
A29,Aromatic Hydrocarbons,Ethyl 4-(dimethylamino)benzoate,Parbenate,10287-53-3,310.25,,0.29,Cyclohexane,,,,,,,,,,193.24,C11H15NO2,CCOC(=O)C1=CC=C(C=C1)N(C)C,0,3,,,,
A30,Aromatic Hydrocarbons,Gallacetophenone,2'.3'.4'-Trihydroxyacetophenone,528-21-2,291.0,,,Methanol,,,,,,,,,,168.15,C8H8O4,CC(=O)C1=C(C(=C(C=C1)O)O)O,3,4,,,,
A31,Aromatic Hydrocarbons,Terephthalic acid,Benzene-1.4-Dicarboxylic Acid; 1.4-Dicarboxybenzene,100-21-0,240.0,,,Ethanol,,,,,,,,,,166.13,C8H6O4,C1=CC(=CC=C1C(=O)O)C(=O)O,2,4,,,,
A32,Aromatic Hydrocarbons,P-phenylenediamine,1.4-Benzenediamine; 1.4-Diaminobenzene; 1.4-Phenylenediamine,106-50-3,251.0,,0.065,Acetonitrile,,,,,,,,,,108.14,C6H8N2,C1=CC(=CC=C1N)N,2,2,,,,
A33,Aromatic Hydrocarbons,Tetraphenylmethane,,630-76-2,263.0,,0.24,Cyclohexane,,,,,,,,,,320.4,C25H20,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4,0,0,,,,
A34,Aromatic Hydrocarbons,N-phenylbenzylamine,N-Benzylaniline; N-Benzyl-N-Phenylamine,103-32-2,245.0,,0.164,Cyclohexane,,,,,,,,,,183.25,C13H13N,C1=CC=C(C=C1)CNC2=CC=CC=C2,1,1,,,,
A35,Aromatic Hydrocarbons,Trans-chalcone,Benzylideneacetophenone;  1.3-Diphenyl-2-Propen-3-One,614-47-1,302.0,,,Cyclohexane,,,,,,,,,,208.25,C15H12O,C1=CC=C(C=C1)C=CC(=O)C2=CC=CC=C2,0,1,,,,
A36,Aromatic Hydrocarbons,Benzophenone,Diphenyl Ketone,119-61-9,252.0,,,Ethanol,,,,,,,,,,182.22,C13H10O,C1=CC=C(C=C1)C(=O)C2=CC=CC=C2,0,1,,,,
A37,Aromatic Hydrocarbons,4.4'-dihydroxybenzophenone,,611-99-4,283.0,,,Chloroform,,,,,,,,,,214.22,C13H10O3,C1=CC(=CC=C1C(=O)C2=CC=C(C=C2)O)O,2,3,,,,
A38,Aromatic Hydrocarbons,Diethyl phthalate,,84-66-2,225.0,,,Ethanol,,,,,,,,,,222.24,C12H14O4,CCOC(=O)C1=CC=CC=C1C(=O)OCC,0,4,,,,
A39,Aromatic Hydrocarbons,1.2.4.5-tetracyanobenzene,Tcnb; Pyromellitic Acid Tetranitrile,712-74-3,316.0,,0.21,Chloroform,,,,,,,,,,178.15,C10H2N4,C1=C(C(=CC(=C1C#N)C#N)C#N)C#N,0,4,,,,
A40,Aromatic Hydrocarbons,Hexafluorobenzene,,392-56-3,230.0,,0.035,Ethanol,,,,,,,,,,186.05,C6F6,C1(=C(C(=C(C(=C1F)F)F)F)F)F,0,6,,,,
A41,Aromatic Hydrocarbons,Ferrocene,Bis(Cyclopentadienyl)Iron; Di(Cyclopentadienyl)Iron,102-54-5,442.0,,,Cyclohexane,,,,,,,,,,186.03,C10H10Fe,[CH-]1C=CC=C1.[CH-]1C=CC=C1.[Fe+2],0,2,,,,
E01,Heterocycles,Pyridine,,110-86-1,251.0,,,Acetonitrile,,,,,,,,,,79.10,C5H5N,C1=CC=NC=C1,0,1,,,,
E02,Heterocycles,Pyridine n-oxide,,694-59-7,276.0,,,Dichloromethane,,,,,,,,,,95.10,C5H5NO,C1=CC=[N+](C=C1)[O-],0,1,,,,
E03,Heterocycles,2-acetylpyridine,,1122-62-9,227.0,,,Cyclohexane,,,,,,,,,,121.14,C7H7NO,CC(=O)C1=CC=CC=N1,0,2,,,,
E04,Heterocycles,4-dimethylaminopyridine,Dmap,1122-58-3,257.0,,0.017,Acetonitrile,,,,,,,,,,122.17,C7H10N2,CN(C)C1=CC=NC=C1,0,2,,,,
E05,Heterocycles,4-(4-nitrobenzyl)pyridine,,1083-48-3,265.0,,,Ethanol,,,,,,,,,,214.22,C12H10N2O2,C1=CC(=CC=C1CC2=CC=NC=C2)[N+](=O)[O-],0,3,,,,
E06,Heterocycles,1.3.5-triazine,S-Triazine,290-87-9,270.0,,,Ethanol,,,,,,,,,,81.08,C3H3N3,C1=NC=NC=N1,0,3,,,,
E07,Heterocycles,Phthalimide,,85-41-6,215.0,,,Ethanol,,,,,,,,,,147.13,C8H5NO2,C1=CC=C2C(=C1)C(=O)NC2=O,1,2,,,,
E08,Heterocycles,2.2'-bipyridine,2.2_-Bipyridyl; 2.2_-Dipyridine; 2.2_-Dipyridyl,366-18-7,281.0,,,Acetonitrile,,,,,,,,,,156.18,C10H8N2,C1=CC=NC(=C1)C2=CC=CC=N2,0,2,,,,
E09,Heterocycles,4.4'-bipyridine,4.4_-Bipyridy; 4.4_-Dipyridine; 4.4_-Dipyridyl,553-26-4,238.0,,,Acetonitrile,,,,,,,,,,156.18,C10H8N2,C1=CN=CC=C1C2=CC=NC=C2,0,2,,,,
E10,Heterocycles,Quinoline,,91-22-5,204.0,,0.01,Ethanol,,,,,,,,,,129.16,C9H7N,C1=CC=C2C(=C1)C=CC=N2,0,1,,,,
E11,Heterocycles,8-quinoline carboxylic acid,,86-59-9,219.0,,0.02,Ethanol,,,,,,,,,,173.17,C10H7NO2,C1=CC2=C(C(=C1)C(=O)O)N=CC=C2,1,3,,,,
E12,Heterocycles,3-quinoline carboxaldehyde,,13669-42-6,245.0,,,Ethanol,,,,,,,,,,157.17,C10H7NO,C1=CC=C2C(=C1)C=C(C=N2)C=O,0,2,,,,
E13,Heterocycles,Benzothiazole,,95-16-9,217.0,,,Ethanol,,,,,,,,,,135.19,C7H5NS,C1=CC=C2C(=C1)N=CS2,0,2,,,,
E14,Heterocycles,Benzotriazole,,95-14-7,253.0,,,Ethanol,,,,,,,,,,119.12,C6H5N3,C1=CC2=NNN=C2C=C1,1,2,,,,
E15,Heterocycles,2-methylbenzoxazole,,95-21-6,231.75,,,Cyclohexane,,,,,,,,,,133.15,C8H7NO,CC1=NC2=CC=CC=C2O1,0,2,,,,
E16,Heterocycles,Pyrrole,,109-97-7,206.0,,,Hexane,,,,,,,,,,67.09,C4H5N,C1=CNC=C1,1,0,,,,
E17,Heterocycles,Pyrrole-2-carboxaldehyde,2-Formylpyrrole,1003-29-8,278.0,,,Hexane,,,,,,,,,,95.10,C5H5NO,C1=CNC(=C1)C=O,1,1,,,,
E18,Heterocycles,Thiazole orange,,107091-89-4,502.0,,,Methanol,,,,,,,,,,476.6,C26H24N2O3S2,CC1=CC=C(C=C1)S(=O)(=O)[O-].CN1C2=CC=CC=C2SC1=CC3=CC=[N+](C4=CC=CC=C34)C,0,5,,,,
E19,Heterocycles,Thioflavin t,,2390-54-7,413.0,,0.0004,Water,,,,,,,,,,318.9,C17H19ClN2S,CC1=CC2=C(C=C1)[N+](=C(S2)C3=CC=C(C=C3)N(C)C)C.[Cl-],0,3,,,,
E20,Heterocycles,Tris(2.2'-bipyridyl)ruthenium(ii),Tris(2.2_-Bipyridyl)Dichlororuthenium(Ii),65034-88-0,286.0,,,Water,,,,,,,,,,646.5,C24H18Cl2N12Ru,C1=CN=C(N=C1)C2=NC=CC=N2.C1=CN=C(N=C1)C2=NC=CC=N2.C1=CN=C(N=C1)C2=NC=CC=N2.[Cl-].[Cl-].[Ru+2],0,14,,,,
E21,Heterocycles,4-chloro-7-nitrobenzofurazan,Nbd,10199-89-0,336.0,,,Ethanol,,,,,,,,,,199.55,C6H2ClN3O3,C1=C(C2=NON=C2C(=C1)Cl)[N+](=O)[O-],0,5,,,,
E22,Heterocycles,7-benzylamino-4-nitrobenz-2-oxa-1.3-diazole,4-Benzylamino-7-Nitrobenzofurazan. Benzylamino-Nbd,18378-20-6,460.5,,0.36,Ethanol,,,,,,,,,,270.24,C13H10N4O3,C1=CC=C(C=C1)CNC2=CC=C(C3=NON=C23)[N+](=O)[O-],1,6,,,,
E23,Heterocycles,Carbostyril 124,7-Amino-4-Methyl-2-Hydroxyquinoline,19840-99-4,219.0,,0.97,Water (ph 5 to 9 ),,,,,,,,,,174.20,C10H10N2O,CC1=CC(=O)NC2=C1C=CC(=C2)N,2,2,,,,
E24,Heterocycles,Quinoline yellow,Acid Yellow 3,8004-92-0,413.0,,,Pbs,,,,,,,,,,477.4,C18H9NNa2O8S2,C1=CC=C2C(=C1)C(=O)C(C2=O)C3=NC4=C(C=C(C=C4C=C3)S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+],0,9,,,,
E25,Heterocycles,2.3.5-triphenyltetrazolium chloride,Tetrazolium Red,298-96-4,247.0,,,Pbs,,,,,,,,,,334.8,C19H15ClN4,C1=CC=C(C=C1)C2=NN([N+](=N2)C3=CC=CC=C3)C4=CC=CC=C4.[Cl-],0,3,,,,
E26,Heterocycles,Quinine sulfate,,207671-44-1,349.0,,0.546,H2so4 aq (1 n),,,,,,,,,,782.9,C40H54N4O10S,COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O.COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O.O.O.OS(=O)(=O)O,6,14,,,,
F01,Biomolecules,L-alanine,,56-41-7,262.0,,,Methanol,,,,,,,,,,89.09,C3H7NO2,CC(C(=O)O)N,2,3,,,,
F02,Biomolecules,L-phenylalanine,,63-91-2,257.5,,0.022,Water,,,,,,,,,,165.19,C9H11NO2,C1=CC=C(C=C1)CC(C(=O)O)N,2,3,,,,
F03,Biomolecules,L-tyrosine,,60-18-4,274.25,,0.13,Phosphate buffer (ph 7. 0.1 m),,,,,,,,,,181.19,C9H11NO3,C1=CC(=CC=C1CC(C(=O)O)N)O,3,4,,,,
F04,Biomolecules,L-histidine,,71-00-1,211.0,,,Water,,,,,,,,,,155.15,C6H9N3O2,C1=C(NC=N1)CC(C(=O)O)N,3,4,,,,
F05,Biomolecules,L-tryptophan,,73-22-3,278.0,,0.12,Phosphate buffer (ph 7. 0.1 m),,,,,,,,,,204.22,C11H12N2O2,C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N,3,3,,,,
F06,Biomolecules,Adenine,,73-24-5,261.0,,,Water (ph 7),,,,,,,,,,135.13,C5H5N5,C1=NC2=NC=NC(=C2N1)N,2,4,,,,
F07,Biomolecules,Guanine,,73-40-5,243.0,,,Water,,,,,,,,,,151.13,C5H5N5O,C1=NC2=C(N1)C(=O)NC(=N2)N,3,3,,,,
F08,Biomolecules,Cytosine,,71-30-7,266.75,,,Water,,,,,,,,,,111.10,C4H5N3O,C1=C(NC(=O)N=C1)N,2,2,,,,
F09,Biomolecules,Thymine,,65-71-4,263.75,,,Water,,,,,,,,,,126.11,C5H6N2O2,CC1=CNC(=O)NC1=O,2,2,,,,
F10,Biomolecules,Uracil,,66-22-8,258.25,,,Water,,,,,,,,,,112.09,C4H4N2O2,C1=CNC(=O)NC1=O,2,2,,,,
F11,Biomolecules,2-amino-4-methylpyrimidine,,108-52-1,228.0,,,Ethanol,,,,,,,,,,109.13,C5H7N3,CC1=NC(=NC=C1)N,1,3,,,,
F12,Biomolecules,2.4-dihydroxy-6-methylpyrimidine,6-Methyluracil,626-48-2,259.0,,,Ethanol,,,,,,,,,,126.11,C5H6N2O2,CC1=CC(=O)NC(=O)N1,2,2,,,,
F13,Biomolecules,D-(-)-salicin,,138-52-3,212.0,,,Ethanol,,,,,,,,,,286.28,C13H18O7,C1=CC=C(C(=C1)CO)OC2C(C(C(C(O2)CO)O)O)O,5,7,,,,
F14,Biomolecules,Riboflavin,Vitamin B2,83-88-5,263.0,,0.3,Ethanol,,,,,,,,,,376.4,C17H20N4O6,CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)CC(C(C(CO)O)O)O,5,7,,,,
F15,Biomolecules,L-ascorbic acid,Vitamin C,50-81-7,265.0,,,Pbs,,,,,,,,,,176.12,C6H8O6,C(C(C1C(=C(C(=O)O1)O)O)O)O,4,6,,,,
F16,Biomolecules,Dl-alpha-tocopherol,Vitamin E,10191-41-0,206.0,,0.14,Ethanol,,,,,,,,,,430.7,C29H50O2,CC1=C(C2=C(CCC(O2)(C)CCCC(C)CCCC(C)CCCC(C)C)C(=C1O)C)C,1,2,,,,
F17,Biomolecules,Vitamin k1,2-Methyl-3-Phytyl-1.4-Naphthoquinone. Phylloquinone,84-80-0,248.0,,,Ethanol,,,,,,,,,,450.7,C31H46O2,CC1=C(C(=O)C2=CC=CC=C2C1=O)CC=C(C)CCCC(C)CCCC(C)CCCC(C)C,0,2,,,,
F18,Biomolecules,Folic acid,Vitamin B9,59-30-3,281.0,,0.005,Water,,,,,,,,,,441.4,C19H19N7O6,C1=CC(=CC=C1C(=O)NC(CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)NC(=N3)N,6,10,,,,
G01,Quinones,1.4-benzoquinone,,106-51-4,239.75,,,Acetonitrile,,,,,,,,,,108.09,C6H4O2,C1=CC(=O)C=CC1=O,0,2,,,,
G02,Quinones,Hydroquinone,1.4-Benzenediol. 1.4-Dihydroxybenzene,123-31-9,225.0,,0.16,Acetonitrile,,,,,,,,,,110.11,C6H6O2,C1=CC(=CC=C1O)O,2,2,,,,
G03,Quinones,2.3.5.6-tetrachloro-1.4-benzoquinone,P-Chloranil,118-75-2,288.0,,,Acetonitrile,,,,,,,,,,245.9,C6Cl4O2,C1(=C(C(=O)C(=C(C1=O)Cl)Cl)Cl)Cl,0,2,,,,
G04,Quinones,Tetrachlorohydroquinone,2.3.5.6-Tetrachloro-1.4-Benzendiol,87-87-6,211.0,,,Acetonitrile,,,,,,,,,,247.9,C6H2Cl4O2,C1(=C(C(=C(C(=C1Cl)Cl)O)Cl)Cl)O,2,2,,,,
G05,Quinones,2.3.5.6-tetramethyl-1.4-benzoquinone,Duroquinone,527-17-3,270.0,,,Acetonitrile,,,,,,,,,,164.20,C10H12O2,CC1=C(C(=O)C(=C(C1=O)C)C)C,0,2,,,,
G06,Quinones,2.3-dichloro-5.6-dicyano-1.4-benzoquinone,Ddq,84-58-2,400.0,,,,1.0,,2.67,0.49,,,,3.18,,227.00,C8Cl2N2O2,C(#N)C1=C(C(=O)C(=C(C1=O)Cl)Cl)C#N,0,4,,,,
G07,Quinones,3.4.5.6-tetrachloro-1.2-benzoquinone,O-Chloranil,2435-53-2,458.0,,,Chloroform,,,,,,,,,,245.9,C6Cl4O2,C1(=C(C(=O)C(=O)C(=C1Cl)Cl)Cl)Cl,0,2,,,,
G08,Quinones,2.5-diphenyl-1.4-benzoquinone,,844-51-9,243.0,,,Acetonitrile,,,,,,,,,,260.3,C18H12O2,C1=CC=C(C=C1)C2=CC(=O)C(=CC2=O)C3=CC=CC=C3,0,2,,,,
